RabA,RabB,RabC,RabD,RabE,area,memERGIC,memGolgiMedial,memL,memLS,memS,memTGN,memTub,membraneMarker,proton,solL,solS,solubleMarker,volume,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1928897.36,
76487.98,3848.45,3848.45,0.0,0.0,84184.88,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
76487.98,3848.45,3848.45,0.0,0.0,84184.88,7494.47,7494.47,8033.0,7494.47,7494.47,7494.47,7494.47,1.0,0.0,196257.0,192946.41,1.0,1962571.3,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
70715.31,3848.45,3848.45,0.0,0.0,78412.21,6928.85,6980.57,8033.0,6980.57,6980.57,6980.57,6980.57,1.0,0.0,196257.0,189635.82,1.0,1928897.36,
