RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
1615721.1,230907.06,15393.8,15393.8,15393.8,1892809.57,7496.04,265.93,119.53,0.0,3962.51,1347.71,489.07,1.0,91.6,0.0,0.0,0.0,1.833315663E7,
15393.8,307876.08,1846628.16,123150.43,15393.8,2308442.28,298.44,1228.49,7610.3,19.18,274.85,78.17,728.4,0.0,199.76,0.0,0.0,1.0,2.196994282E7,
1645409.15,184725.65,15393.8,15393.8,15393.8,1876316.21,7410.51,262.89,118.17,0.0,3593.24,1599.36,540.51,1.0,91.6,0.0,0.0,0.0,1.815469812E7,
15393.8,292482.28,1800446.75,92362.82,15393.8,2216079.46,298.44,1167.07,7546.33,18.19,237.39,55.12,767.68,0.0,196.06,0.0,0.0,1.0,2.116176811E7,
1620119.33,169331.84,15393.8,15393.8,15393.8,1835632.59,7243.06,237.72,116.57,0.0,3144.44,1814.66,604.06,1.0,90.24,0.0,0.0,0.0,1.777167211E7,
15393.8,261694.67,1723477.73,61575.22,15393.8,2077535.22,298.44,1044.22,7223.72,16.47,196.05,39.74,758.71,0.0,184.83,0.0,0.0,1.0,1.994950605E7,
1671798.53,169331.84,15393.8,15393.8,15393.8,1887311.79,7596.53,237.34,116.38,0.0,2900.59,1999.63,678.75,1.0,92.45,0.0,0.0,0.0,1.816400625E7,
15393.8,246300.86,1677296.32,30787.61,15393.8,1985172.4,298.44,982.79,7094.68,15.13,159.14,27.71,778.97,0.0,179.83,0.0,0.0,1.0,1.914133134E7,
1695988.79,215513.26,61575.22,30787.61,15393.8,2019258.68,7596.53,299.58,245.43,0.29,2731.33,2123.04,754.11,1.0,97.48,0.0,0.0,0.0,1.937722524E7,
15393.8,200119.45,1646508.71,15393.8,15393.8,1892809.57,298.44,798.52,6964.46,13.61,128.64,19.23,773.82,0.0,172.24,0.0,0.0,1.0,1.833315662E7,
1680594.99,184725.65,46181.41,15393.8,15393.8,1942289.66,7527.58,299.57,184.07,0.04,2476.11,2146.24,858.11,1.0,95.45,0.0,0.0,0.0,1.870374632E7,
15393.8,123150.43,1554145.89,15393.8,15393.8,1723477.73,298.44,655.2,6765.39,12.78,117.5,16.27,749.48,0.0,165.72,0.0,0.0,1.0,1.685150299E7,
1619019.77,169331.84,15393.8,15393.8,15393.8,1834533.03,7335.73,270.13,90.54,0.01,2200.61,2147.39,911.81,1.0,93.34,0.0,0.0,0.0,1.776087582E7,
15393.8,76969.02,1507964.47,15393.8,15393.8,1631114.91,298.44,491.4,6765.39,11.48,98.92,9.29,760.18,0.0,163.05,0.0,0.0,1.0,1.604332828E7,
1621218.89,123150.43,15393.8,15393.8,15393.8,1790550.73,7301.47,246.74,90.97,0.0,2032.59,2209.78,954.84,1.0,91.94,0.0,0.0,0.0,1.731265871E7,
15393.8,46181.41,1785052.95,277088.47,15393.8,2139110.44,298.44,368.55,7552.07,11.54,133.66,17.79,907.77,0.0,177.89,0.0,0.0,1.0,2.048828919E7,
1491471.11,76969.02,15393.8,15393.8,15393.8,1614621.54,6881.95,185.05,90.97,0.0,1862.37,2072.05,902.08,1.0,86.15,0.0,0.0,0.0,1.571709451E7,
15393.8,15393.8,1754265.34,261694.67,15393.8,2062141.42,298.44,122.85,7486.37,10.7,128.45,6.03,902.24,0.0,174.35,0.0,0.0,1.0,1.981481026E7,
1631114.91,92362.82,30787.61,15393.8,15393.8,1785052.95,7278.96,125.95,160.03,0.08,1869.21,2152.78,964.12,1.0,86.78,0.0,0.0,0.0,1.717682901E7,
15393.8,30787.61,1800446.75,307876.08,15393.8,2169898.05,298.44,143.84,7486.38,10.18,140.3,22.37,945.39,0.0,177.03,0.0,0.0,1.0,2.075768076E7,
1612422.43,61575.22,15393.8,15393.8,15393.8,1720179.06,7146.81,124.83,158.62,0.01,1771.68,2083.92,1042.91,1.0,86.09,0.0,0.0,0.0,1.663838485E7,
15393.8,30787.61,1800446.75,292482.28,15393.8,2154504.24,298.44,201.1,7472.83,9.53,133.86,22.75,929.31,0.0,173.66,0.0,0.0,1.0,2.062298497E7,
1617920.22,46181.41,15393.8,15393.8,15393.8,1710283.04,7297.56,127.46,161.96,0.0,1744.36,2084.31,1128.55,1.0,85.39,0.0,0.0,0.0,1.650858944E7,
15393.8,15393.8,1754265.34,215513.26,15393.8,2015960.01,298.44,100.55,7343.94,8.71,126.46,7.28,913.64,0.0,167.96,0.0,0.0,1.0,1.941072291E7,
1611322.87,123150.43,30787.61,15393.8,15393.8,1796048.52,7174.58,125.32,159.23,0.0,1639.84,2008.81,1225.03,1.0,85.39,0.0,0.0,0.0,1.723572008E7,
15393.8,15393.8,1738871.53,169331.84,15393.8,1954384.79,298.44,100.55,7279.49,8.11,122.66,3.09,906.1,0.0,165.63,0.0,0.0,1.0,1.887193976E7,
1628915.79,138544.24,15393.8,15393.8,15393.8,1813641.44,7562.05,124.91,79.36,0.0,1553.22,1993.74,1258.69,1.0,86.13,0.0,0.0,0.0,1.750650015E7,
15393.8,15393.8,1677296.32,123150.43,15393.8,1846628.16,298.44,100.55,7149.46,7.38,118.17,1.87,895.91,0.0,163.23,0.0,0.0,1.0,1.792906927E7,
1615721.1,92362.82,15393.8,15393.8,15393.8,1754265.34,7380.5,106.48,78.93,0.0,1454.18,1941.0,1262.55,1.0,84.14,0.0,0.0,0.0,1.697290519E7,
15393.8,15393.8,1785052.95,277088.47,15393.8,2108322.83,298.44,100.56,7535.62,7.08,131.09,8.51,942.68,0.0,169.19,0.0,0.0,1.0,2.021889762E7,
