#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
9.0,5.0,1.57389,0.63431,0.24721,0.26057,0.1293,0.14867,0.21426,
9.0,8.0,1.52888,0.70873,0.23404,0.29698,0.08218,0.14459,0.24221,
10.0,5.0,1.54477,0.59764,0.19614,0.23724,0.27629,0.07853,0.21179,
8.0,5.0,1.58345,0.72259,0.24835,0.25737,0.14749,0.15599,0.1908,
9.0,9.0,1.58633,0.76831,0.23218,0.23905,0.14796,0.1488,0.23202,
11.0,21.0,1.46688,0.66115,0.16316,0.37687,0.06496,0.14337,0.25164,
11.0,12.0,1.45281,0.64747,0.15907,0.3941,0.0647,0.13571,0.24642,
11.0,5.0,1.53464,0.75443,0.14755,0.21082,0.21313,0.09887,0.32963,
9.0,8.0,1.4823,0.71406,0.16811,0.32907,0.07475,0.1263,0.30177,
10.0,33.0,1.52967,0.55613,0.16777,0.24897,0.1573,0.09781,0.32815,
9.0,8.0,1.53939,0.65387,0.18489,0.28503,0.16433,0.09068,0.27506,
7.0,9.0,1.53766,0.75552,0.26573,0.20247,0.13895,0.09811,0.29474,
9.0,11.0,1.46935,0.66564,0.11146,0.38648,0.13187,0.1067,0.26349,
8.0,10.0,1.56561,0.73263,0.27283,0.1476,0.1255,0.19376,0.26031,
8.0,34.0,1.56779,0.66577,0.27133,0.15065,0.12262,0.20379,0.25162,
7.0,10.0,1.56967,0.71974,0.26382,0.13557,0.13738,0.25834,0.20488,
7.0,9.0,1.49759,0.6938,0.29388,0.05082,0.27503,0.19149,0.18878,
7.0,14.0,1.31258,0.77798,0.37797,0.0,0.27296,0.11754,0.23154,
7.0,16.0,1.53159,0.69527,0.33323,0.18377,0.11978,0.12226,0.24095,
7.0,11.0,1.54011,0.65961,0.31508,0.21343,0.11634,0.1222,0.23295,
7.0,12.0,1.54288,0.63967,0.30338,0.23644,0.09927,0.1444,0.21651,
10.0,4.0,1.53188,0.62163,0.28437,0.14135,0.24035,0.0844,0.24952,
10.0,7.0,1.58351,0.57561,0.1257,0.19421,0.2484,0.18926,0.24244,
10.0,15.0,1.5831,0.54848,0.12754,0.20352,0.2477,0.17693,0.24431,
9.0,13.0,1.53875,0.67378,0.2786,0.16568,0.23791,0.07963,0.23817,
10.0,13.0,1.59088,0.60537,0.13573,0.18008,0.23675,0.22538,0.22207,
