entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,RabL,xER,xPM,
2.269,0.4227,0.09331,0.06249,0.05767,0.09427,0.08667,0.02473,0.05311,0.02807,0.04038,0.04909,0.2037,0.2065,
2.269,0.423,0.09331,0.06234,0.0578,0.09427,0.08667,0.02473,0.05311,0.02949,0.03897,0.04911,0.2037,0.2065,
2.267,0.4189,0.09321,0.06213,0.05786,0.09394,0.08618,0.0246,0.05432,0.02794,0.03884,0.04916,0.2039,0.2079,
2.267,0.3891,0.09273,0.06218,0.05794,0.09399,0.08622,0.02461,0.05434,0.02795,0.03886,0.04919,0.204,0.208,
2.266,0.3873,0.09145,0.06206,0.05801,0.095,0.08613,0.02459,0.05429,0.02792,0.03882,0.04914,0.2048,0.2078,
2.266,0.3887,0.09125,0.06219,0.05807,0.095,0.08613,0.02459,0.05429,0.02845,0.03829,0.04915,0.2048,0.2078,
2.265,0.39,0.09088,0.06228,0.05809,0.09467,0.08673,0.02408,0.05433,0.02847,0.03832,0.04918,0.205,0.208,
2.265,0.3797,0.09045,0.0618,0.05831,0.09476,0.08681,0.0241,0.05438,0.0285,0.03835,0.04922,0.2052,0.2082,
2.265,0.383,0.08997,0.06204,0.05824,0.09478,0.08684,0.02411,0.05441,0.0285,0.03836,0.04925,0.2053,0.2082,
2.264,0.3863,0.08878,0.06229,0.05831,0.09564,0.08737,0.02358,0.05511,0.0278,0.03836,0.04925,0.2053,0.2082,
2.264,0.3875,0.08868,0.06226,0.0583,0.09518,0.08732,0.0239,0.05474,0.02831,0.0378,0.04923,0.2062,0.2081,
2.264,0.3887,0.08868,0.06221,0.05833,0.09518,0.08732,0.0239,0.05474,0.02919,0.03691,0.04924,0.2062,0.2081,
2.262,0.3898,0.08843,0.06231,0.0583,0.09475,0.08788,0.02328,0.05471,0.02917,0.03689,0.04921,0.2071,0.208,
2.245,0.3836,0.08836,0.06232,0.05835,0.09475,0.09844,0.01272,0.05471,0.02917,0.03689,0.04923,0.2071,0.208,
2.256,0.4135,0.08823,0.06204,0.05844,0.09445,0.09906,0.04226,0.02468,0.0292,0.03692,0.04929,0.2073,0.2082,
2.256,0.4144,0.08827,0.06193,0.05861,0.09372,0.09914,0.04283,0.02417,0.02975,0.03642,0.04935,0.2074,0.2084,
2.254,0.4173,0.08811,0.06169,0.05868,0.09374,0.09908,0.04291,0.03097,0.02288,0.0359,0.04937,0.2075,0.2091,
2.254,0.4164,0.08811,0.06146,0.05891,0.09374,0.09908,0.04291,0.03139,0.02246,0.0359,0.04937,0.2075,0.2091,
2.254,0.418,0.08692,0.06126,0.05909,0.09494,0.09908,0.04291,0.03139,0.02246,0.0359,0.0494,0.2075,0.2091,
2.252,0.4191,0.08549,0.06096,0.05916,0.09561,0.09898,0.04287,0.03136,0.02243,0.03587,0.04935,0.2084,0.2096,
2.251,0.4147,0.08521,0.06083,0.05914,0.09482,0.099,0.04322,0.03103,0.02243,0.03586,0.04936,0.2095,0.2096,
2.251,0.4166,0.08521,0.0607,0.05925,0.09482,0.0995,0.04323,0.03105,0.0219,0.03586,0.04938,0.2095,0.2096,
2.251,0.4225,0.08524,0.0607,0.05927,0.09446,0.1,0.04279,0.03106,0.02447,0.03331,0.04943,0.2095,0.2097,
2.251,0.4258,0.08426,0.06068,0.05934,0.09509,0.1,0.04281,0.03108,0.02674,0.03107,0.04945,0.2096,0.2098,
2.251,0.4268,0.08417,0.06038,0.05951,0.09499,0.09994,0.04277,0.03105,0.02724,0.03051,0.0494,0.2105,0.2096,
2.249,0.4287,0.08413,0.06038,0.05961,0.09465,0.0982,0.04307,0.03049,0.02725,0.03052,0.04942,0.2106,0.2117,
2.259,0.424,0.08629,0.06034,0.05956,0.09418,0.09814,0.04304,0.0309,0.02681,0.03549,0.04939,0.2065,0.2094,
2.259,0.4339,0.08612,0.06028,0.0595,0.0942,0.09868,0.04319,0.03082,0.02921,0.03257,0.04941,0.2066,0.2095,
2.259,0.4298,0.08605,0.06028,0.05963,0.09383,0.09872,0.0432,0.03083,0.03451,0.02728,0.04944,0.2067,0.2095,
2.257,0.4313,0.08605,0.06024,0.05968,0.09383,0.0983,0.04366,0.03013,0.03575,0.02604,0.04944,0.2067,0.2102,
2.256,0.4363,0.08567,0.0605,0.05977,0.09383,0.09697,0.04366,0.03084,0.03593,0.02515,0.04945,0.2067,0.2115,
2.257,0.4348,0.0887,0.06038,0.05963,0.09364,0.09611,0.04391,0.03044,0.03585,0.0251,0.04937,0.2083,0.2086,
2.253,0.4457,0.07881,0.06037,0.05956,0.1033,0.09386,0.04387,0.0304,0.03582,0.02508,0.04933,0.2091,0.2105,
2.252,0.4387,0.07851,0.06044,0.05949,0.1033,0.09363,0.04382,0.03033,0.03572,0.02494,0.04934,0.2092,0.2112,
2.251,0.44,0.07851,0.06038,0.05957,0.103,0.09417,0.04396,0.02973,0.03573,0.02495,0.04937,0.2093,0.2113,
2.25,0.4411,0.07847,0.06047,0.05959,0.1026,0.09382,0.04371,0.02974,0.03574,0.02496,0.04938,0.2094,0.2121,
